Beneficiários por Município
Excl. Odontológico por Município e Faixa etária
Sexo: Feminino
UF: Paraná
Período:Dez/2017
"Município";"Até 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"Inconsistente";"Total"
"411720 Nova Olímpia";0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;4
"411725 Nova Prata do Iguaçu";0;1;2;0;5;10;2;4;2;2;0;0;1;0;0;0;0;0;0;29
"411721 Nova Santa Bárbara";0;0;1;0;1;1;1;2;0;0;2;2;0;0;1;0;0;0;0;11
"411722 Nova Santa Rosa";1;7;6;3;7;7;13;10;12;4;3;2;1;0;1;0;0;0;0;77
"411727 Nova Tebas";0;0;0;0;1;1;1;0;0;0;0;0;2;0;0;0;0;0;0;5
"411729 Novo Itacolomi";0;1;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;5
"411730 Ortigueira";1;21;30;41;21;32;31;30;22;15;8;12;1;0;0;0;0;0;0;265
"411740 Ourizona";0;1;0;2;2;2;0;5;3;5;0;2;2;1;0;0;0;0;0;25
"411745 Ouro Verde do Oeste";0;6;7;6;5;10;16;14;7;14;6;3;4;1;0;0;0;0;0;99
"411750 Paiçandu";1;33;73;81;65;127;191;157;141;115;73;59;36;11;0;1;0;0;0;1164
"411760 Palmas";4;20;23;24;23;46;57;72;80;60;44;34;49;41;20;3;8;0;0;608
